timestamp,activeOrders, sells,buys, digest
Sun Feb 15 03:34:04 UTC 2015 , 4 , 2 , 2 , 102664032 : { BUY 2810.49@0.00382592} 102664092 : { BUY 2809.59@0.00382592} 102663252 : { SELL 8400.32@0.00386051} 102663294 : { SELL 8400.32@0.00386051} 
Sun Feb 15 03:40:05 UTC 2015 , 4 , 2 , 2 , 102667026 : { BUY 2803.79@0.00383506} 102667096 : { BUY 2802.89@0.00383506} 102666166 : { SELL 8400.32@0.00386973} 102666213 : { SELL 8400.32@0.00386973} 
Sun Feb 15 03:49:09 UTC 2015 , 4 , 2 , 2 , 102670322 : { BUY 2792.34@0.00385079} 102670409 : { BUY 2791.44@0.00385079} 102669501 : { SELL 8400.32@0.0038856} 102669552 : { SELL 8400.32@0.0038856} 
Sun Feb 15 03:52:10 UTC 2015 , 4 , 2 , 2 , 102670322 : { BUY 2792.34@0.00385079} 102670409 : { BUY 2791.44@0.00385079} 102669501 : { SELL 8400.32@0.0038856} 102669552 : { SELL 8400.32@0.0038856} 
Sun Feb 15 03:58:13 UTC 2015 , 4 , 2 , 2 , 102672147 : { BUY 2799.25@0.00384128} 102672199 : { BUY 2798.35@0.00384128} 102673021 : { SELL 8400.32@0.003876} 102673066 : { SELL 8400.32@0.003876} 
Sun Feb 15 04:07:15 UTC 2015 , 4 , 2 , 2 , 102677193 : { BUY 2748.92@0.00391161} 102677262 : { BUY 2748.02@0.00391161} 102676247 : { SELL 8400.32@0.00394697} 102676302 : { SELL 8400.32@0.00394697} 
Sun Feb 15 04:22:20 UTC 2015 , 4 , 2 , 2 , 102681700 : { BUY 2760.8@0.00389478} 102681743 : { BUY 2759.9@0.00389478} 102682556 : { SELL 8400.32@0.00392999} 102682612 : { SELL 8400.32@0.00392999} 
Sun Feb 15 04:25:21 UTC 2015 , 4 , 2 , 2 , 102681700 : { BUY 2760.8@0.00389478} 102681743 : { BUY 2759.9@0.00389478} 102682556 : { SELL 8400.32@0.00392999} 102682612 : { SELL 8400.32@0.00392999} 
Sun Feb 15 04:34:24 UTC 2015 , 4 , 2 , 2 , 102686067 : { BUY 2768.15@0.00388444} 102686112 : { BUY 2767.25@0.00388444} 102686888 : { SELL 8400.32@0.00391956} 102686939 : { SELL 8400.32@0.00391956} 
Sun Feb 15 04:43:27 UTC 2015 , 4 , 2 , 2 , 102688968 : { BUY 2778.84@0.0038695} 102689023 : { BUY 2777.93@0.0038695} 102689806 : { SELL 8400.32@0.00390448} 102689869 : { SELL 8400.32@0.00390448} 
Sun Feb 15 04:52:31 UTC 2015 , 4 , 2 , 2 , 102692061 : { BUY 2775.93@0.00387356} 102692137 : { BUY 2775.02@0.00387356} 102693028 : { SELL 8400.32@0.00390858} 102693068 : { SELL 8400.32@0.00390858} 
Sun Feb 15 04:55:31 UTC 2015 , 4 , 2 , 2 , 102692061 : { BUY 2775.93@0.00387356} 102692137 : { BUY 2775.02@0.00387356} 102693028 : { SELL 8400.32@0.00390858} 102693068 : { SELL 8400.32@0.00390858} 
Sun Feb 15 05:04:33 UTC 2015 , 4 , 2 , 2 , 102696725 : { BUY 2780.25@0.00386754} 102696780 : { BUY 2779.34@0.00386754} 102695950 : { SELL 8400.32@0.00390251} 102695991 : { SELL 8400.32@0.00390251} 
Sun Feb 15 05:13:36 UTC 2015 , 4 , 2 , 2 , 102699352 : { BUY 2790.07@0.00385392} 102699393 : { BUY 2789.17@0.00385392} 102700168 : { SELL 8400.32@0.00388876} 102700208 : { SELL 8400.32@0.00388876} 
Sun Feb 15 05:16:38 UTC 2015 , 4 , 2 , 2 , 102701493 : { BUY 2783.92@0.00386244} 102701558 : { BUY 2783.01@0.00386244} 102700679 : { SELL 8400.32@0.00389736} 102700723 : { SELL 8400.32@0.00389736} 
