timestamp,source,crypto,price,currency,sellprice,buyprice,otherfeeds
Sun Feb 15 05:24:16 UTC 2015,coinbase,btc,257.83,USD,0.003896,0.00386109,{ feed : coinbase - price : 257.83}  { feed : bitcoinaverage - price : 257.63}  { feed : blockchain - price : 257.56}  { feed : btce - price : 256.322}  

Sun Feb 15 05:28:25 UTC 2015,coinbase,btc,253.25,USD,0.00396646,0.00393092,{ feed : coinbase - price : 253.25}  { feed : bitcoinaverage - price : 254.78}  { feed : blockchain - price : 245.83}  { feed : btce - price : 252.883}  

Sun Feb 15 05:32:25 UTC 2015,coinbase,btc,253.75,USD,0.00395864,0.00392317,{ feed : coinbase - price : 253.75}  { feed : bitcoinaverage - price : 255.86}  { feed : blockchain - price : 252.2}  { feed : btce - price : 254.126}  

Sun Feb 15 05:37:29 UTC 2015,coinbase,btc,254.38,USD,0.00394884,0.00391346,{ feed : coinbase - price : 254.38}  { feed : bitcoinaverage - price : 255.75}  { feed : blockchain - price : 254.15}  { feed : btce - price : 254.456}  

Sun Feb 15 05:41:33 UTC 2015,coinbase,btc,254.7,USD,0.00394388,0.00390854,{ feed : coinbase - price : 254.7}  { feed : bitcoinaverage - price : 255.79}  { feed : blockchain - price : 254.37}  { feed : btce - price : 255.074}  

Sun Feb 15 05:47:41 UTC 2015,coinbase,btc,255.38,USD,0.00393337,0.00389813,{ feed : coinbase - price : 255.38}  { feed : bitcoinaverage - price : 255.93}  { feed : blockchain - price : 254.81}  { feed : btce - price : 253.911}  

Sun Feb 15 05:52:47 UTC 2015,coinbase,btc,255.0,USD,0.00393924,0.00390394,{ feed : coinbase - price : 255.0}  { feed : bitcoinaverage - price : 256.23}  { feed : blockchain - price : 255.0}  { feed : btce - price : 255.0}  

Sun Feb 15 05:57:49 UTC 2015,coinbase,btc,256.28,USD,0.00391956,0.00388444,{ feed : coinbase - price : 256.28}  { feed : bitcoinaverage - price : 256.42}  { feed : blockchain - price : 255.77}  { feed : btce - price : 255.0}  

Sun Feb 15 06:02:57 UTC 2015,coinbase,btc,256.99,USD,0.00390873,0.00387371,{ feed : coinbase - price : 256.99}  { feed : bitcoinaverage - price : 256.93}  { feed : blockchain - price : 255.95}  { feed : btce - price : 255.0}  

Sun Feb 15 06:06:58 UTC 2015,coinbase,btc,256.64,USD,0.00391406,0.00387899,{ feed : coinbase - price : 256.64}  { feed : bitcoinaverage - price : 256.81}  { feed : blockchain - price : 255.95}  { feed : btce - price : 255.22}  

Sun Feb 15 06:10:00 UTC 2015,coinbase,btc,256.99,USD,0.00390873,0.00387371,{ feed : coinbase - price : 256.99}  { feed : bitcoinaverage - price : 257.03}  { feed : blockchain - price : 256.49}  { feed : btce - price : 256.293}  

Sun Feb 15 06:16:06 UTC 2015,coinbase,btc,257.62,USD,0.00389917,0.00386424,{ feed : coinbase - price : 257.62}  { feed : bitcoinaverage - price : 256.93}  { feed : blockchain - price : 256.67}  { feed : btce - price : 255.511}  

Sun Feb 15 06:20:11 UTC 2015,coinbase,btc,256.98,USD,0.00390888,0.00387386,{ feed : coinbase - price : 256.98}  { feed : bitcoinaverage - price : 257.62}  { feed : blockchain - price : 256.67}  { feed : btce - price : 257.081}  

Sun Feb 15 06:23:13 UTC 2015,coinbase,btc,258.43,USD,0.00388695,0.00385213,{ feed : coinbase - price : 258.43}  { feed : bitcoinaverage - price : 258.0}  { feed : blockchain - price : 257.78}  { feed : btce - price : 257.5}  

Sun Feb 15 06:27:19 UTC 2015,coinbase,btc,259.1,USD,0.0038769,0.00384217,{ feed : coinbase - price : 259.1}  { feed : bitcoinaverage - price : 259.1}  { feed : blockchain - price : 258.61}  { feed : btce - price : 257.829}  

Sun Feb 15 06:31:22 UTC 2015,coinbase,btc,258.7,USD,0.0038829,0.00384811,{ feed : coinbase - price : 258.7}  { feed : bitcoinaverage - price : 258.85}  { feed : blockchain - price : 258.61}  { feed : btce - price : 257.798}  

Sun Feb 15 06:37:29 UTC 2015,coinbase,btc,259.04,USD,0.0038778,0.00384306,{ feed : coinbase - price : 259.04}  { feed : bitcoinaverage - price : 258.81}  { feed : blockchain - price : 258.52}  { feed : btce - price : 257.5}  

Sun Feb 15 06:45:36 UTC 2015,coinbase,btc,258.4,USD,0.0038874,0.00385257,{ feed : coinbase - price : 258.4}  { feed : bitcoinaverage - price : 258.56}  { feed : blockchain - price : 258.27}  { feed : btce - price : 256.5}  

Sun Feb 15 06:49:40 UTC 2015,coinbase,btc,258.74,USD,0.00388229,0.00384751,{ feed : coinbase - price : 258.74}  { feed : bitcoinaverage - price : 258.39}  { feed : blockchain - price : 258.27}  { feed : btce - price : 256.558}  

Sun Feb 15 06:56:55 UTC 2015,bitcoinaverage,btc,258.19,USD,0.00389057,0.00385571,{ feed : coinbase - price : 258.93}  { feed : bitcoinaverage - price : 258.19}  { feed : blockchain - price : 258.27}  { feed : btce - price : 257.0}  

Sun Feb 15 07:00:50 UTC 2015,coinbase,btc,258.78,USD,0.00388169,0.00384692,{ feed : coinbase - price : 258.78}  { feed : bitcoinaverage - price : 258.09}  { feed : blockchain - price : 258.27}  { feed : btce - price : 257.051}  

Sun Feb 15 07:04:55 UTC 2015,coinbase,btc,258.45,USD,0.00388665,0.00385183,{ feed : coinbase - price : 258.45}  { feed : bitcoinaverage - price : 258.09}  { feed : blockchain - price : 258.27}  { feed : btce - price : 257.01}  

Sun Feb 15 07:16:05 UTC 2015,coinbase,btc,259.17,USD,0.00387585,0.00384113,{ feed : coinbase - price : 259.17}  { feed : bitcoinaverage - price : 258.84}  { feed : blockchain - price : 258.63}  { feed : btce - price : 258.0}  

Sun Feb 15 07:22:13 UTC 2015,coinbase,btc,260.25,USD,0.00385977,0.00382519,{ feed : coinbase - price : 260.25}  { feed : bitcoinaverage - price : 260.35}  { feed : blockchain - price : 258.98}  { feed : btce - price : 259.343}  

Sun Feb 15 07:27:18 UTC 2015,coinbase,btc,259.52,USD,0.00387063,0.00383595,{ feed : coinbase - price : 259.52}  { feed : bitcoinaverage - price : 260.15}  { feed : blockchain - price : 259.5}  { feed : btce - price : 258.804}  

Sun Feb 15 07:31:18 UTC 2015,coinbase,btc,258.13,USD,0.00389147,0.0038566,{ feed : coinbase - price : 258.13}  { feed : bitcoinaverage - price : 259.11}  { feed : blockchain - price : 259.5}  { feed : btce - price : 258.8}  

Sun Feb 15 07:35:24 UTC 2015,coinbase,btc,258.78,USD,0.00388169,0.00384692,{ feed : coinbase - price : 258.78}  { feed : bitcoinaverage - price : 258.49}  { feed : blockchain - price : 258.0}  { feed : btce - price : 258.0}  

Sun Feb 15 07:41:31 UTC 2015,coinbase,btc,259.18,USD,0.0038757,0.00384098,{ feed : coinbase - price : 259.18}  { feed : bitcoinaverage - price : 258.74}  { feed : blockchain - price : 258.77}  { feed : btce - price : 258.007}  

Sun Feb 15 07:45:48 UTC 2015,bitcoinaverage,btc,258.85,USD,0.00388065,0.00384588,{ feed : coinbase - price : 258.4}  { feed : bitcoinaverage - price : 258.85}  { feed : blockchain - price : 259.02}  { feed : btce - price : 257.6}  

